,streetname_nl,house_number,municipality_name_nl,postcode
781953,Deckerslaan,3,Essen,2910
782431,Nieuw Hoef,5,Essen,2910
783210,Etting,6,Essen,2910
783984,Kraaienberg,52,Essen,2910
784479,Kammenstraat,116,Essen,2910
784603,Kammenstraat,30,Essen,2910
784958,Kalmthoutsesteenweg,233,Essen,2910
785217,Beukendreef,32,Essen,2910
785386,Doornboom,7,Essen,2910
785610,Den Uil,31,Essen,2910
785726,Horendonk,310,Essen,2910
786461,Heikantlaan,25,Essen,2910
786881,Spillebeekweg,6,Essen,2910
787094,Hemelrijk,69,Essen,2910
787200,Rijkmakerlaan,16,Essen,2910
787530,Kalmthoutsesteenweg,215,Essen,2910
787592,Voorspoedstraat,4,Essen,2910
788247,Moerkantsebaan,317,Essen,2910
788698,Den Uil,13,Essen,2910
789115,Cardijnstraat,22,Essen,2910
789242,Huybergsebaan,219,Essen,2910
789907,Hemelrijklaan,51,Essen,2910
790695,Schaapsbaan,35,Essen,2910
790917,Over d'Aa,117,Essen,2910
791255,Molenstraat,23,Essen,2910
791789,Moerkantsebaan,210,Essen,2910
793072,Moerkantsebaan,145,Essen,2910
793490,Heikantstraat,95,Essen,2910
793599,Kalmthoutsesteenweg,91,Essen,2910
793783,Dreveneind,13,Essen,2910
793840,Vaartstraat,43,Essen,2910
794003,Laaglandstraat,9,Essen,2910
794621,Antwerpsesteenweg,26,Essen,2910
795186,Huybergsebaan,130,Essen,2910
795423,Steenovenstraat,129,Essen,2910
796524,Heikantstraat,77,Essen,2910
796682,Kloosterstraat,61,Essen,2910
796987,Kloosterstraat,15,Essen,2910
797433,Bosdreef,8,Essen,2910
798299,Oude Baan,225,Essen,2910
798559,Over d'Aa,13,Essen,2910
798808,Kalmthoutsesteenweg,73,Essen,2910
798809,Kalmthoutsesteenweg,196,Essen,2910
798968,Kalmthoutsesteenweg,37,Essen,2910
799754,Kalmthoutsesteenweg,178,Essen,2910
799830,Dreef,38,Essen,2910
800453,Nieuwstraat,92,Essen,2910
800454,Nieuwstraat,38,Essen,2910
800863,Kapelstraat,29,Essen,2910
801079,Eikenblok,39,Essen,2910
801201,Stationsstraat,103,Essen,2910
801405,Kalmthoutsesteenweg,55,Essen,2910
801420,Over d'Aa,66,Essen,2910
801560,Beliestraat,25,Essen,2910
802292,Elf-Novemberstraat,9,Essen,2910
802360,Noordeneind,8,Essen,2910
802531,Moerkantsebaan,181,Essen,2910
802714,Beekstraat,15,Essen,2910
803006,Middenstraat,13,Essen,2910
804807,Spoorwegstraat,17,Essen,2910
805142,Stationsstraat,156,Essen,2910
805205,Leemstraat,14,Essen,2910
805486,dr. Jef Goossenaertsstraat,22,Essen,2910
805518,Horendonk,263,Essen,2910
805568,Heikantstraat,59,Essen,2910
805573,Leemstraat,60,Essen,2910
805695,Over d'Aa,135,Essen,2910
805771,Schriek,20,Essen,2910
806021,Maststraat,36,Essen,2910
806210,Leemputten,5,Essen,2910
806375,Deckerslaan,39,Essen,2910
806780,Oude Baan,38,Essen,2910
807979,Over d'Aa,84,Essen,2910
808517,Fazantendreef,17,Essen,2910
808588,Ericalaan,7,Essen,2910
808754,Molenakkersstraat,58,Essen,2910
808782,Eekhoornlaan,51,Essen,2910
808972,Nollekensstraat,31,Essen,2910
809189,Hemelrijklaan,23,Essen,2910
810108,Nollekensstraat,84,Essen,2910
811123,Over d'Aa,188,Essen,2910
811526,Kammenstraat,65,Essen,2910
811531,Rouwmoer,6,Essen,2910
811537,Kloosterstraat,33,Essen,2910
811876,Stationsstraat,68,Essen,2910
812523,Oude Baan,153,Essen,2910
812601,Heuvelplein,22,Essen,2910
812837,Sint-Jansstraat,187,Essen,2910
812976,Wolfsheuvel,7,Essen,2910
813517,Heiblok,15,Essen,2910
814480,Velodreef,69,Essen,2910
814859,Rodenbachlaan,13,Essen,2910
815075,Bergenvenstraat,17,Essen,2910
815555,Vossenboslaan,24,Essen,2910
815701,Hortensialaan,23,Essen,2910
815718,Elzendreef,9,Essen,2910
815905,Velodreef,184,Essen,2910
816135,Vaartstraat,25,Essen,2910
816292,Lazaret,12,Essen,2910
816546,Valkstraat,6,Essen,2910
817151,Kammenstraat,83,Essen,2910
817399,Hofstraat,67,Essen,2910
817460,Rinkvenstraat,14,Essen,2910
818233,Steenpaal,25,Essen,2910
818358,Over d'Aa,217,Essen,2910
818567,Stationsstraat,86,Essen,2910
818722,Den Uil,40,Essen,2910
818745,Kalmthoutsesteenweg,143,Essen,2910
818910,Grensstraat,54,Essen,2910
819024,Noordeneind,11,Essen,2910
819031,Burgem. Dierckxsensstraat,14,Essen,2910
819124,Eikendreef,29,Essen,2910
819237,Stationsstraat,174,Essen,2910
819836,Watermolenstraat,19,Essen,2910
819857,Moerkantsebaan,245,Essen,2910
821051,Vissenheuvel,1,Essen,2910
821266,Hemelrijklaan,4,Essen,2910
821517,Burgemeester Kenisstraat,1,Essen,2910
822161,Smeyerspad,24,Essen,2910
823467,Nolsebaan,106,Essen,2910
823474,Nieuwstraat,2,Essen,2910
823780,Alfons Tirelirenstraat,3,Essen,2910
824165,Kraaienberg,113,Essen,2910
824425,Hendrik Consciencelaan,28,Essen,2910
824919,Over d'Aa,235,Essen,2910
825216,Beliestraat,104,Essen,2910
825244,Veldweg,52,Essen,2910
825272,Maststraat,18,Essen,2910
825484,Hey-endlaan,50,Essen,2910
825505,Oude Baan,2,Essen,2910
826103,Bloemenlaan,2,Essen,2910
826900,Elzendreef,19,Essen,2910
827122,Deckerslaan,57,Essen,2910
827351,Laaglandstraat,12,Essen,2910
827690,Hortensialaan,4,Essen,2910
827851,Horendonk,345,Essen,2910
827919,Elshoutlaan,20,Essen,2910
828071,Hofstraat,49,Essen,2910
828146,Nieuwstraat,56,Essen,2910
828211,Hondsberg,66,Essen,2910
828500,Kerkstraat,79,Essen,2910
828630,Steenovenstraat,61,Essen,2910
829024,Rodenbachlaan,31,Essen,2910
829216,Kammenstraat,9,Essen,2910
830183,Elf-Novemberstraat,48,Essen,2910
831099,Voetberglaan,7,Essen,2910
831668,Werf,12,Essen,2910
831775,Baertshoek,16,Essen,2910
832150,Sint-Jansstraat,1,Essen,2910
833371,Huybergsebaan,184,Essen,2910
834044,Wildertse Duintjes,36,Essen,2910
834978,Steenovenstraat,49,Essen,2910
835098,Kleiputtenlaan,14,Essen,2910
835636,Zwartven,28,Essen,2910
835774,Elshoutlaan,3,Essen,2910
835782,Schanker,8,Essen,2910
835889,Spoorwegstraat,21,Essen,2910
836251,Nieuwstraat,9,Essen,2910
836500,Heikantvenstraat,67,Essen,2910
836899,Paviljoenweg,6,Essen,2910
838046,Over d'Aa,186,Essen,2910
838095,Veldweg,39,Essen,2910
838303,Kalmthoutsesteenweg,278,Essen,2910
838721,Moerkantsebaan,204,Essen,2910
838909,Dreef,9,Essen,2910
839325,Stationsstraat,203,Essen,2910
839811,Schaapsbaan,83,Essen,2910
839946,Voorspoedstraat,7,Essen,2910
840353,Kraaienberg,41,Essen,2910
840403,Nolsebaan,73,Essen,2910
840636,Heikantvenstraat,32,Essen,2910
840852,Schelpheuvelstraat,24,Essen,2910
841730,Schaapsbaan,30,Essen,2910
842495,Nolsebaan,20,Essen,2910
842863,Groenlaan,11,Essen,2910
843052,Vijverlaan,37,Essen,2910
843212,Kerkstraat,21,Essen,2910
844025,Essendonk,73,Essen,2910
844372,Beliestraat,84,Essen,2910
845046,Vijverlaan,19,Essen,2910
845123,Kievitstraat,37,Essen,2910
845127,Corsicalaan,7,Essen,2910
845449,Beukendreef,24,Essen,2910
845730,Sint-Jansstraat,90,Essen,2910
846098,Essendonk,20,Essen,2910
846300,Kammenstraat,26,Essen,2910
846302,Beliestraat,31,Essen,2910
847057,Jachthoornlaan,4,Essen,2910
847110,Over d'Aa,251,Essen,2910
847186,Kerkstraat,74,Essen,2910
847200,Korte Leemstraat,13,Essen,2910
847282,Hofstraat,7,Essen,2910
847350,Kleine Horendonk,15,Essen,2910
848423,Bosbessenlaan,55,Essen,2910
850260,dr. Jef Goossenaertsstraat,16,Essen,2910
850276,Paviljoenweg,42,Essen,2910
850358,Heikantstraat,148,Essen,2910
850363,Grensstraat,37,Essen,2910
850818,Stationsstraat,221,Essen,2910
850917,Dreveneind,1,Essen,2910
851767,Kraaienberg,119,Essen,2910
851914,Maststraat,46,Essen,2910
851991,Over d'Aa,16,Essen,2910
852107,Etting,29,Essen,2910
852213,Korte Leemstraat,31,Essen,2910
852250,Nolsebaan,55,Essen,2910
852466,Patrijzenlaan,23,Essen,2910
852855,Melkerijstraat,22,Essen,2910
853019,Douglaslaan,5,Essen,2910
853543,Etting,5,Essen,2910
853853,Deckerslaan,8,Essen,2910
854909,Bergenvenstraat,40,Essen,2910
855093,Steenovenstraat,67,Essen,2910
855235,Vogelkerslaan,50,Essen,2910
855542,Dennenlaan,10,Essen,2910
856127,Beliestraat,66,Essen,2910
856290,Essendonk,55,Essen,2910
856314,Middenstraat,16,Essen,2910
856351,Over d'Aa,69,Essen,2910
858869,Veldweg,57,Essen,2910
859042,Huybergsebaan,94,Essen,2910
859177,Nollekensstraat,78,Essen,2910
859202,Velodreef,210,Essen,2910
859362,Vaartkant,13,Essen,2910
859464,Kalmthoutsesteenweg,100,Essen,2910
859543,Molenstraat,15,Essen,2910
859790,Hondsberg,43,Essen,2910
859858,Achterstraat,41,Essen,2910
860424,Kleiputtenlaan,49,Essen,2910
860715,Meeuwenven,16,Essen,2910
861051,Huybergsebaan,76,Essen,2910
861267,Silvesterlaan,29,Essen,2910
861424,Antwerpsesteenweg,40,Essen,2910
861726,Eikendreef,1,Essen,2910
861951,Steenovenstraat,14,Essen,2910
862222,Den Uil,12,Essen,2910
862264,Heikantstraat,131,Essen,2910
862451,Wolfsheuvel,11,Essen,2910
862622,Heikantstraat,113,Essen,2910
862985,Heiblok,51,Essen,2910
863078,Oude Baan,53,Essen,2910
863175,Kammenstraat,97,Essen,2910
863443,Grensstraat,20,Essen,2910
863556,Valkstraat,21,Essen,2910
863710,Moerkantsebaan,340,Essen,2910
863742,Donkweg,63,Essen,2910
863881,Vossenboslaan,51,Essen,2910
864932,Magerbeek,20,Essen,2910
865171,Heikantstraat,76,Essen,2910
865513,Steenovenstraat,128,Essen,2910
865546,Heuvelplein,9,Essen,2910
865901,Steenovenstraat,22,Essen,2910
865968,Schelpheuvelstraat,69,Essen,2910
866059,Dennenlaan,2,Essen,2910
866456,Heikantvenstraat,14,Essen,2910
868547,Kortestraat,7,Essen,2910
870184,Mereldreef,4,Essen,2910
870404,Deckerslaan,43,Essen,2910
870785,Nieuwstraat,62,Essen,2910
872198,Huybergsebaan,238,Essen,2910
872955,Molenstraat,33,Essen,2910
873053,Spurrieveld,17,Essen,2910
873407,Sint-Jansstraat,18,Essen,2910
873563,Sint-Jansstraat,144,Essen,2910
873674,Stationsstraat,148,Essen,2910
873820,Eikenblok,29,Essen,2910
874396,Horendonk,384,Essen,2910
874437,Over d'Aa,123,Essen,2910
874649,Akkerstraat,8,Essen,2910
874785,Stationsstraat,113,Essen,2910
875484,Lazaret,6,Essen,2910
877034,Moerkantsebaan,257,Essen,2910
877100,Stationsstraat,166,Essen,2910
878163,Kloosterstraat,51,Essen,2910
878851,Kerkhofweg,12,Essen,2910
879002,Albert Yssackersstraat,49,Essen,2910
879993,Greefstraat,4,Essen,2910
880175,Platanenlaan,13,Essen,2910
880224,Molenakkersstraat,59,Essen,2910
880509,Hemelrijklaan,70,Essen,2910
883757,Stationsstraat,184,Essen,2910
883956,Kalmthoutsesteenweg,63,Essen,2910
883972,Over d'Aa,151,Essen,2910
884031,Epicealaan,44,Essen,2910
885628,Sint-Jansstraat,162,Essen,2910
886134,Horendonk,366,Essen,2910
886192,Over d'Aa,105,Essen,2910
886216,Moerkantsebaan,222,Essen,2910
887033,Eekhoornlaan,24,Essen,2910
887894,Handelsstraat,21,Essen,2910
887935,Nieuwstraat,44,Essen,2910
888257,Kloosterstraat,23,Essen,2910
888374,Hey-endlaan,25,Essen,2910
888645,Heidelaan,6,Essen,2910
888834,Huybergsebaan,7,Essen,2910
889054,Zonnedauwlaan,38,Essen,2910
889061,Kleiputtenlaan,32,Essen,2910
889139,Kalmthoutsesteenweg,207,Essen,2910
889323,Schaapsbaan,108,Essen,2910
889689,Leemstraat,33,Essen,2910
889821,Kammenstraat,115,Essen,2910
889906,Huybergsebaan,58,Essen,2910
890314,Den Uil,30,Essen,2910
891344,Krinkelsbos,10,Essen,2910
891947,Sint-Jansstraat,244,Essen,2910
892069,Struisven,17,Essen,2910
892205,Heiblok,31,Essen,2910
893094,Vossenboslaan,31,Essen,2910
893175,Moerkantsebaan,229,Essen,2910
893327,Bremlaan,19,Essen,2910
893424,Kalmthoutsesteenweg,253,Essen,2910
893605,Oude Baan,10,Essen,2910
893908,Huybergsebaan,213,Essen,2910
894035,Nollekensstraat,45,Essen,2910
894296,Handelsstraat,28,Essen,2910
894457,Den Uil,19,Essen,2910
894623,Grensstraat,40,Essen,2910
894827,Rinkvenstraat,6,Essen,2910
895064,Oude Baan,160,Essen,2910
895192,Leemstraat,96,Essen,2910
895323,Burgem. Dierckxsensstraat,6,Essen,2910
895657,Beekstraat,7,Essen,2910
896019,Zonnedauwlaan,11,Essen,2910
896502,Essendonkbos,2,Essen,2910
896874,Handelsstraat,4,Essen,2910
896972,Spijker,58,Essen,2910
897396,Hortensialaan,6,Essen,2910
897832,Sint-Jansstraat,179,Essen,2910
898528,Nieuw Hoef,17,Essen,2910
898537,Heikantlaan,58,Essen,2910
898637,Heuvelplein,24,Essen,2910
899388,Beekstraat,13,Essen,2910
899692,Stationsstraat,231,Essen,2910
900008,Schelpheuvelstraat,113,Essen,2910
900893,Sint-Antoniusplein,8,Essen,2910
900982,Wildertse Duintjes,26,Essen,2910
901058,Violetlaan,21,Essen,2910
901671,Middenstraat,24,Essen,2910
901853,Douglaslaan,37,Essen,2910
901899,Kloosterstraat,13,Essen,2910
902677,Grensstraat,5,Essen,2910
903080,Oude Baan,8,Essen,2910
903579,Moerkantsebaan,47,Essen,2910
903851,Moerkantsebaan,312,Essen,2910
903950,Werf,18,Essen,2910
904036,Essendonk,30,Essen,2910
904071,Distelpad,9,Essen,2910
904893,Eekhoornlaan,52,Essen,2910
905308,dr. Jef Goossenaertsstraat,24,Essen,2910
905503,Kerkstraat,82,Essen,2910
905717,Vijverlaan,29,Essen,2910
905979,Over d'Aa,24,Essen,2910
906476,Etting,19,Essen,2910
906800,Verbindingsstraat,19,Essen,2910
907446,Huybergsebaan,176,Essen,2910
907510,Leemstraat,43,Essen,2910
907902,Over d'Aa,196,Essen,2910
908213,Molenstraat,43,Essen,2910
908567,Platanenlaan,23,Essen,2910
908873,Moerkantsebaan,170,Essen,2910
908954,Kalmthoutsesteenweg,188,Essen,2910
909762,Fazantendreef,11,Essen,2910
910087,Steenovenstraat,164,Essen,2910
910127,Kleine Horendonk,25,Essen,2910
910217,Stationsstraat,213,Essen,2910
910684,Beekstraat,31,Essen,2910
910700,Steenovenstraat,75,Essen,2910
910799,Guido Gezellelaan,9,Essen,2910
911178,Varenlaan,7,Essen,2910
911395,Stationsstraat,41,Essen,2910
911617,Vijverlaan,5,Essen,2910
911841,Beukendreef,16,Essen,2910
912078,Hemelrijklaan,52,Essen,2910
912313,Schanker,61,Essen,2910
912584,Schaapsbaan,91,Essen,2910
913923,Beliestraat,58,Essen,2910
913950,Albert Yssackersstraat,39,Essen,2910
914488,Magerbeek,29,Essen,2910
914849,Hemelrijk,85,Essen,2910
914864,Schelpheuvelstraat,16,Essen,2910
915426,Rouwmoer,4,Essen,2910
915470,Vossenboslaan,7,Essen,2910
915688,Spoorwegstraat,11,Essen,2910
915967,Kloosterstraat,31,Essen,2910
916301,Sint-Jansstraat,108,Essen,2910
917213,Heikantvenstraat,57,Essen,2910
917348,Antwerpsesteenweg,20,Essen,2910
917381,Beukendreef,34,Essen,2910
917478,Schoolstraat,5,Essen,2910
917529,Kuiperstraat,6,Essen,2910
917859,Tichelrei,3,Essen,2910
918225,Kammenstraat,36,Essen,2910
918800,Schomveld,11,Essen,2910
919030,Antwerpsesteenweg,73,Essen,2910
919322,Hemelrijk,49,Essen,2910
920519,Vaartstraat,60,Essen,2910
920613,Donkweg,117,Essen,2910
921105,Kapelstraat,81,Essen,2910
921293,Kraaienberg,127,Essen,2910
921444,Kerkstraat,64,Essen,2910
921520,Deckerslaan,47,Essen,2910
922366,Marterlaan,5,Essen,2910
922634,Antwerpsesteenweg,55,Essen,2910
923799,Beliestraat,94,Essen,2910
924204,Schelpheuvelstraat,59,Essen,2910
924390,Hondsberg,61,Essen,2910
924677,Deken Verstraelenstraat,8,Essen,2910
925925,Vaartstraat,42,Essen,2910
926300,Oude Baan,232,Essen,2910
926824,Zwartven,5,Essen,2910
927473,Eikendreef,10,Essen,2910
927949,Koveklaan,14,Essen,2910
928026,Beliestraat,76,Essen,2910
928561,Nolsebaan,83,Essen,2910
928982,Schelpheuvelstraat,34,Essen,2910
929038,Heikantvenstraat,22,Essen,2910
929464,Steenovenstraat,57,Essen,2910
930766,Sint-Jansstraat,62,Essen,2910
931228,Schaapsbaan,20,Essen,2910
931297,Nollekensstraat,15,Essen,2910
931801,Dreveneind,15,Essen,2910
931829,Kraaienberg,51,Essen,2910
932850,Nolsebaan,30,Essen,2910
932997,Laaglandstraat,3,Essen,2910
933163,Moerkantsebaan,330,Essen,2910
933172,Bergsebaan,14,Essen,2910
933357,Cardijnstraat,33,Essen,2910
933599,Heikantvenstraat,75,Essen,2910
933817,Moerkantsebaan,230,Essen,2910
934270,Schuurblok,15,Essen,2910
934474,Steenpaal,4,Essen,2910
934583,Bergenvenstraat,5,Essen,2910
935495,Patrijzenlaan,13,Essen,2910
935644,Dennenlaan,17,Essen,2910
935974,Hey-endlaan,15,Essen,2910
936496,Nieuwstraat,72,Essen,2910
936527,Beliestraat,137,Essen,2910
936598,Huybergsebaan,66,Essen,2910
936962,Steenovenstraat,136,Essen,2910
937264,Baertshoek,18,Essen,2910
937545,Heikantstraat,84,Essen,2910
939472,Buntweg,28,Essen,2910
939501,Kapelstraat,27,Essen,2910
939536,Alfons Tirelirenstraat,15,Essen,2910
939809,Paviljoenweg,39,Essen,2910
940079,Steenovenstraat,32,Essen,2910
940276,Nolsebaan,40,Essen,2910
940515,Middenstraat,59,Essen,2910
940741,Kloosterstraat,41,Essen,2910
941088,Kalmthoutsesteenweg,53,Essen,2910
942009,Huybergsebaan,84,Essen,2910
942094,Steenovenstraat,118,Essen,2910
942176,Vijverlaan,65,Essen,2910
942314,Hey-endlaan,33,Essen,2910
942523,Stationsstraat,158,Essen,2910
943118,Molenakkersstraat,9,Essen,2910
943432,Rodenbachlaan,8,Essen,2910
943706,Vossenboslaan,41,Essen,2910
943850,Korte Leemstraat,23,Essen,2910
944077,Veldweg,49,Essen,2910
944404,Leemputten,3,Essen,2910
944469,Hemelrijklaan,16,Essen,2910
944653,Sint-Jansstraat,154,Essen,2910
945364,Over d'Aa,133,Essen,2910
945939,Essendonk,40,Essen,2910
945991,Kalmthoutsesteenweg,71,Essen,2910
947016,Voetberglaan,12,Essen,2910
947490,Hellebloklaan,4,Essen,2910
947688,Sint-Jansstraat,3,Essen,2910
948090,Groenlaan,2,Essen,2910
949547,Moerkantsebaan,61,Essen,2910
949938,Rinkvenstraat,25,Essen,2910
950135,Nolsebaan,162,Essen,2910
951021,Hemelrijklaan,34,Essen,2910
951518,Kleiputtenlaan,22,Essen,2910
951766,Heikantlaan,51,Essen,2910
952017,Velodreef,137,Essen,2910
952711,Bremlaan,20,Essen,2910
954839,Douglaslaan,14,Essen,2910
955102,Sint-Jansstraat,87,Essen,2910
955103,Middenstraat,18,Essen,2910
955410,Vissenheuvel,34,Essen,2910
955416,Hemelrijk,91,Essen,2910
956222,Kalmthoutsesteenweg,245,Essen,2910
956249,Verbindingsstraat,14,Essen,2910
956517,Etting,14,Essen,2910
957185,Sint-Jansstraat,189,Essen,2910
957389,Dreveneind,27,Essen,2910
957445,Scham,21,Essen,2910
958290,Smeyerspad,12,Essen,2910
958627,Deckerslaan,10,Essen,2910
958749,Leemstraat,106,Essen,2910
958989,Zandstraat,3,Essen,2910
959340,Visserij,2,Essen,2910
959809,Over d'Aa,148,Essen,2910
962049,Vaartstraat,20,Essen,2910
962337,Kalmthoutsesteenweg,281,Essen,2910
962809,Kleiputtenlaan,40,Essen,2910
963131,Den Uil,27,Essen,2910
963916,Sint-Jansstraat,136,Essen,2910
964504,Kleiputtenlaan,29,Essen,2910
964643,Eekhoornlaan,9,Essen,2910
964926,Heikantvenstraat,8,Essen,2910
965145,Hofstraat,79,Essen,2910
966167,Steenovenstraat,37,Essen,2910
966310,Kerkstraat,58,Essen,2910
966478,Hemelrijkweg,1,Essen,2910
966607,Heiblok,56,Essen,2910
967502,Vossenboslaan,56,Essen,2910
967801,Nieuwe Heikant,16,Essen,2910
967897,Paviljoenweg,30,Essen,2910
968492,Beliestraat,82,Essen,2910
968551,Berkenlaan,9,Essen,2910
968731,Lazaret,15,Essen,2910
969015,Postbaan,26,Essen,2910
969208,Moerkantsebaan,6,Essen,2910
969314,Leemputten,12,Essen,2910
969327,Hemelrijk,3,Essen,2910
969410,Elf-Novemberstraat,24,Essen,2910
970476,Steenpaal,11,Essen,2910
971263,Oude Baan,104,Essen,2910
971463,Cardijnstraat,27,Essen,2910
971707,Eikenblok,6,Essen,2910
972228,Wolfsven,3,Essen,2910
972452,Elshoutlaan,16,Essen,2910
972524,Kraaienberg,11,Essen,2910
972745,Zwartven,26,Essen,2910
973254,Schelpheuvelstraat,54,Essen,2910
973591,Papenmoerstraat,6,Essen,2910
973697,Oude Baan,150,Essen,2910
974939,Voorspoedstraat,9,Essen,2910
975196,Moerkantsebaan,63,Essen,2910
975514,Hemelrijklaan,44,Essen,2910
975606,Spoorwegstraat,2,Essen,2910
975819,Heikantvenstraat,30,Essen,2910
976157,Lazaret,4,Essen,2910
976844,Nolsebaan,22,Essen,2910
976855,Kalmthoutsesteenweg,198,Essen,2910
977341,Hemelrijkweg,29,Essen,2910
978072,Vijverlaan,39,Essen,2910
978082,Schanker,27,Essen,2910
978573,Moerkantsebaan,224,Essen,2910
978765,Groenlaan,13,Essen,2910
979728,Handelsstraat,46,Essen,2910
979884,Beukendreef,26,Essen,2910
979907,Kalmthoutsesteenweg,210,Essen,2910
980130,Corsicalaan,9,Essen,2910
980539,Kievitstraat,39,Essen,2910
981261,Hazenpad,1,Essen,2910
981369,Stationsstraat,105,Essen,2910
981437,Kammenstraat,24,Essen,2910
981666,Kleine Horendonk,17,Essen,2910
983238,Leemstraat,71,Essen,2910
983265,Albert Yssackersstraat,29,Essen,2910
983309,Sint-Jansstraat,118,Essen,2910
983544,Hellebloklaan,28,Essen,2910
984072,Moerkantsebaan,81,Essen,2910
984247,Paviljoenweg,40,Essen,2910
984380,Hemelrijklaan,62,Essen,2910
985129,Begonialaan,37,Essen,2910
985889,Alfons Tirelirenstraat,10,Essen,2910
986263,Grensstraat,39,Essen,2910
986335,Stationsstraat,123,Essen,2910
986416,Moerkantsebaan,45,Essen,2910
987482,Hey-endlaan,10,Essen,2910
987595,Douglaslaan,3,Essen,2910
987944,Deckerslaan,6,Essen,2910
987993,Melkerijstraat,20,Essen,2910
988270,Horendonk,305,Essen,2910
988391,Eikenblok,45,Essen,2910
988393,Krinkelsbos,8,Essen,2910
989016,Over d'Aa,113,Essen,2910
989047,Oude Baan,139,Essen,2910
989262,Etting,3,Essen,2910
989333,Antwerpsesteenweg,32,Essen,2910
989574,Wildertse Duintjes,16,Essen,2910
990872,Steenovenstraat,65,Essen,2910
991865,Smoutebos,9,Essen,2910
992283,Leemputten,8,Essen,2910
992465,Kloosterstraat,74,Essen,2910
993704,Over d'Aa,89,Essen,2910
993811,Kleine Veldweg,9,Essen,2910
993873,Kloosterstraat,21,Essen,2910
994023,Heikantlaan,11,Essen,2910
994093,Handelsstraat,23,Essen,2910
994161,Heikantstraat,105,Essen,2910
995075,Steenovenstraat,12,Essen,2910
995236,Struisven,29,Essen,2910
995449,Moerkantsebaan,129,Essen,2910
995468,Veldweg,19,Essen,2910
995769,Spijker,11,Essen,2910
995849,Werf,7,Essen,2910
996477,Middenstraat,36,Essen,2910
996630,Kalmthoutsesteenweg,109,Essen,2910
996919,Koekoekstraat,37,Essen,2910
997203,Kleiputtenlaan,1,Essen,2910
997371,Maststraat,31,Essen,2910
997487,Beekstraat,21,Essen,2910
997527,Huybergsebaan,38,Essen,2910
997880,Horendonk,261,Essen,2910
997987,Silvesterlaan,42,Essen,2910
998023,Huybergsebaan,168,Essen,2910
998049,Mertensdreef,1,Essen,2910
999464,Oude Baan,61,Essen,2910
999518,Boterpotlaan,24,Essen,2910
1000192,Heikantstraat,123,Essen,2910
1000618,Hey-endlaan,45,Essen,2910
1001375,Huybergsebaan,186,Essen,2910
1001680,Heikantstraat,38,Essen,2910
1002228,Moerkantsebaan,140,Essen,2910
1002268,Kerkstraat,48,Essen,2910
1002284,Nollekensstraat,68,Essen,2910
1003015,Beliestraat,46,Essen,2910
1003727,Bloemenlaan,7,Essen,2910
1004537,Heikantvenstraat,65,Essen,2910
1004542,Rodenbachlaan,27,Essen,2910
1004855,Velodreef,64,Essen,2910
1004925,Klaprooslaan,28,Essen,2910
1005373,Over d'Aa,131,Essen,2910
1005544,Schanker,6,Essen,2910
1005881,Heuvelplein,18,Essen,2910
1006417,Nieuwstraat,7,Essen,2910
1006587,Over d'Aa,184,Essen,2910
1006604,Moerkantsebaan,206,Essen,2910
1007052,Heikantvenstraat,12,Essen,2910
1007287,Veldweg,37,Essen,2910
1009101,Leemstraat,17,Essen,2910
1009102,Leemstraat,1,Essen,2910
1009162,Paviljoenweg,29,Essen,2910
1009700,Eikenblok,27,Essen,2910
1009917,Moerkantsebaan,27,Essen,2910
1009978,Akkerstraat,6,Essen,2910
1011737,Stationsstraat,168,Essen,2910
1011818,Beliestraat,48,Essen,2910
1012019,Middenstraat,21A,Essen,2910
1012068,Heikantstraat,56,Essen,2910
1012322,Spoorwegstraat,23,Essen,2910
1012497,Schanker,63,Essen,2910
1012606,Moerkantsebaan,259,Essen,2910
1012981,Nolsebaan,201,Essen,2910
1013141,Kalmthoutsesteenweg,43,Essen,2910
1013222,Vossenboslaan,38,Essen,2910
1013239,Stationsstraat,74,Essen,2910
1013626,Corsicalaan,44,Essen,2910
1013980,Vijverlaan,57,Essen,2910
1014690,Hemelrijklaan,26,Essen,2910
1015483,Stationsstraat,92,Essen,2910
1016692,Sint-Jansstraat,80,Essen,2910
1017018,Antwerpsesteenweg,57,Essen,2910
1017101,Olympialaan,5,Essen,2910
1017302,Kerkstraat,66,Essen,2910
1017915,Moerkantsebaan,104,Essen,2910
1018209,Donkweg,119,Essen,2910
1018614,Kleiputtenlaan,19,Essen,2910
1018927,Nieuwe Heikant,24,Essen,2910
1019062,Smeyerspad,20,Essen,2910
1019268,Leemstraat,8,Essen,2910
1019555,Grensstraat,60,Essen,2910
1019866,Hendrik Consciencelaan,5,Essen,2910
1020150,Vossenboslaan,11,Essen,2910
1020182,Vaartstraat,12,Essen,2910
1020628,Rooiendamlaan,7,Essen,2910
1020726,Over d'Aa,213,Essen,2910
1020770,Steenovenstraat,91,Essen,2910
1020975,Kalmthoutsesteenweg,273,Essen,2910
1021248,Koekoekstraat,40,Essen,2910
1021407,Vredestraat,7,Essen,2910
1022758,Beliestraat,110,Essen,2910
1023434,Beliestraat,74,Essen,2910
1023458,Heidelaan,1,Essen,2910
1023537,Kalmthoutsesteenweg,255,Essen,2910
1023971,Bergenvenstraat,22,Essen,2910
1023997,Zonnedauwlaan,13,Essen,2910
1024196,Baertshoek,21,Essen,2910
1024640,Over d'Aa,231,Essen,2910
